2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H9940,Longevity Health Plan of Massachusetts,LONGEVITY HEALTH PLAN OF MASSACHUSETTS INC,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:36,Plan too new to be measured,Plan too new to be measured,2.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.00%,0:36,No data available,0:21,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9942,Longevity Health Plan,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP,"Longevity Health Founders, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:34,Plan too small to be measured,100%,2.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,36%,CMS found issues with plan's data,26%,CMS found issues with plan's data,Plan too new to be measured,99%,Not enough data available,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,15%,2.00%,0:34,No data available,0:21,50,No data available,No data available,3%,3%,18.32%,7.12%,0.00%,14.70%,24.37%,48.51%,75.23%,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,80
H9943,Alignment Health Plan,ALIGNMENT HEALTH PLAN OF FLORIDA INC,"Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:10,Plan too new to be measured,Plan too new to be measured,1.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.02%,0:12,No data available,0:15,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9946,Shared Health Dual Freedom,"SHARED HEALTH MISSISSIPPI, INC.",BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9952,Medica,MEDICA HEALTH PLANS,Medica Holding Company,76%,72%,Not enough data available,12%,93,1:53,48%,97%,0.00%,Not enough data available,Not enough data available,47%,11%,29%,Not enough data available,65%,72%,91%,54%,0%,Not enough data available,25%,0%,0%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,65%,0.00%,1:53,101,0:21,49,53%,39%,No data available,No data available,23.96%,11.05%,2.53%,No data available,No data available,6.62%,68.92%,2.74,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9955,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",49%,58%,Not enough data available,24%,Not enough data available,0:03,51%,95%,0.00%,78%,85%,36%,12%,24%,24%,50%,7%,75%,8%,Plan too new to be measured,71%,37%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,58%,0.00%,0:03,100,1:06,89,57%,36%,8%,No data available,7.64%,4.20%,0.43%,11.51%,16.15%,15.44%,71.70%,33.25,Not Available,Not Available,Not Available,Not Available,Not Available,60
H9976,Wellcare by Allwell,"WESTERN SKY COMMUNITY CARE, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:50,57%,84%,11.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,10%,0%,65%,0%,Plan too new to be measured,Plan not required to report measure,37%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,36%,11.00%,0:50,104,0:11,87,48%,36%,5%,No data available,8.10%,9.25%,0.00%,5.52%,7.33%,14.77%,44.44%,6.18,Not Available,Not Available,Not Available,Not Available,Not Available,60
H9986,Florida Complete Care,"HPMP OF FLORIDA, INC.","Independent Living Systems, LLC",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:19,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,5%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.01%,0:10,101,1:06,96,No data available,No data available,17%,No data available,41.33%,No data available,No data available,30.66%,46.02%,No data available,85.00%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
R0110,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,29%,68%,Not enough data available,30%,94,1:59,67%,96%,3.19%,69%,72%,60%,7%,33%,18%,76%,39%,90%,17%,90%,Plan not required to report measure,33%,68%,78%,0%,4%,4%,3%,76%,3.19%,1:59,100,0:09,84,63%,31%,8%,8%,11.12%,6.44%,0.20%,8.79%,13.40%,20.64%,65.27%,0.77,1%,9%,32%,5%,6%,100
R0759,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",34%,65%,90%,25%,Not enough data available,0:39,65%,93%,1.01%,71%,81%,34%,3%,18%,13%,60%,13%,82%,7%,96%,68%,50%,69%,81%,5%,8%,8%,6%,73%,1.01%,0:39,100,0:46,69,52%,24%,11%,6%,23.03%,14.34%,0.05%,7.76%,11.41%,15.34%,64.55%,2.49,12%,12%,25%,6%,6%,100
R0865,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,53%,67%,Not enough data available,23%,93,1:54,73%,95%,3.03%,76%,70%,55%,9%,32%,18%,79%,48%,91%,19%,95%,Plan not required to report measure,38%,66%,79%,8%,14%,10%,12%,72%,3.03%,1:54,100,0:09,84,60%,28%,9%,10%,18.48%,4.89%,0.08%,11.40%,15.56%,27.19%,62.02%,0.45,4%,8%,24%,7%,8%,100
R0923,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,71%,Not enough data available,20%,Not enough data available,1:59,73%,94%,3.19%,Not enough data available,Not enough data available,51%,7%,29%,15%,79%,53%,88%,29%,92%,Plan not required to report measure,46%,57%,78%,0%,10%,10%,3%,66%,3.19%,1:59,100,0:09,85,55%,26%,10%,10%,13.01%,8.25%,0.00%,10.39%,12.33%,19.58%,71.54%,0.72,12%,9%,19%,6%,8%,100
R1390,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,50%,69%,95%,28%,Not enough data available,1:59,75%,92%,3.19%,83%,84%,43%,5%,24%,14%,74%,46%,89%,21%,96%,Plan not required to report measure,43%,67%,87%,2%,8%,7%,4%,67%,3.19%,1:59,100,0:09,83,65%,27%,11%,10%,17.38%,12.28%,0.16%,9.41%,14.00%,22.51%,63.27%,1.16,9%,9%,25%,Not Available,7%,100
R1532,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,63%,Not enough data available,18%,Not enough data available,1:59,63%,91%,3.19%,84%,78%,45%,5%,25%,13%,70%,35%,90%,19%,95%,Plan not required to report measure,30%,66%,78%,2%,6%,8%,8%,65%,3.19%,1:59,100,0:09,84,54%,30%,11%,No data available,15.47%,5.21%,0.33%,10.76%,17.20%,24.33%,67.59%,0.98,12%,15%,32%,Not Available,14%,100
R2604,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",43%,62%,90%,31%,93,0:38,71%,98%,0.00%,68%,79%,43%,4%,24%,18%,63%,9%,88%,9%,93%,84%,38%,66%,82%,3%,7%,7%,4%,75%,0.00%,0:38,100,0:46,73,58%,43%,12%,17%,17.07%,6.82%,0.20%,11.19%,15.51%,22.69%,67.07%,3.57,6%,12%,21%,8%,10%,100
R3175,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,48%,Not enough data available,Not enough data available,No data available,0:53,Plan too small to be measured,86%,7.00%,Not enough data available,Not enough data available,24%,0%,12%,18%,47%,12%,71%,15%,86%,47%,50%,68%,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,45%,7.00%,0:53,100,0:37,72,No data available,No data available,15%,16%,17.18%,9.37%,1.65%,8.69%,19.35%,16.83%,81.48%,1.18,Not Available,Not Available,Not Available,Not Available,Not Available,100
R3332,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,36%,65%,84%,33%,93,0:56,70%,97%,3.00%,79%,86%,23%,1%,12%,12%,43%,5%,86%,2%,94%,Plan not required to report measure,49%,67%,90%,1%,5%,5%,3%,74%,3.00%,0:56,100,0:17,50,52%,20%,9%,11%,24.02%,11.75%,0.12%,4.75%,11.88%,12.50%,67.40%,2.33,13%,15%,41%,8%,9%,100
R3392,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,65%,Not enough data available,29%,93,1:59,71%,96%,3.19%,75%,80%,50%,6%,28%,14%,72%,38%,89%,13%,90%,Plan not required to report measure,37%,73%,74%,5%,15%,9%,9%,73%,3.19%,1:59,100,0:09,83,62%,31%,10%,13%,15.48%,8.49%,0.00%,8.98%,12.80%,22.80%,63.01%,0.63,11%,9%,41%,Not Available,6%,100
R3444,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",38%,60%,87%,23%,93,0:26,70%,96%,2.00%,74%,76%,42%,2%,22%,20%,60%,15%,88%,12%,91%,75%,30%,66%,79%,3%,7%,6%,7%,67%,2.00%,0:26,100,0:46,76,50%,31%,12%,15%,20.20%,3.92%,0.15%,11.66%,17.91%,20.77%,68.62%,3.82,10%,9%,23%,7%,8%,100
R3887,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,72%,Not enough data available,23%,Not enough data available,1:54,72%,94%,3.03%,61%,76%,47%,1%,24%,17%,70%,43%,90%,21%,93%,Plan not required to report measure,46%,65%,74%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,71%,3.03%,1:54,100,0:09,84,54%,26%,8%,5%,15.23%,8.76%,0.00%,11.59%,13.80%,22.49%,60.77%,0.85,8%,6%,34%,Not Available,6%,100
R4182,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,37%,64%,85%,23%,93,1:59,70%,94%,3.19%,78%,79%,43%,3%,23%,18%,67%,39%,89%,15%,94%,Plan not required to report measure,37%,63%,75%,4%,10%,9%,11%,67%,3.19%,1:59,100,0:09,83,53%,23%,7%,6%,14.48%,4.69%,0.04%,7.71%,12.75%,27.01%,64.72%,0.72,12%,7%,30%,Not Available,9%,100
R4487,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","Elevance Health, Inc.",63%,62%,Not enough data available,27%,93,0:51,71%,96%,1.00%,80%,79%,34%,8%,21%,19%,77%,10%,91%,8%,93%,Plan not required to report measure,36%,64%,87%,6%,14%,11%,11%,77%,3.03%,0:18,100,0:41,95,47%,24%,11%,7%,18.78%,5.78%,0.12%,9.31%,12.38%,22.22%,69.42%,2.87,10%,5%,40%,4%,6%,80
R4845,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,43%,67%,Not enough data available,16%,Not enough data available,1:59,64%,91%,3.19%,81%,78%,36%,8%,22%,15%,68%,33%,86%,20%,96%,Plan not required to report measure,27%,71%,77%,0%,0%,0%,0%,59%,3.19%,1:59,100,0:09,85,50%,24%,8%,16%,10.57%,6.74%,0.21%,11.48%,14.41%,26.27%,71.13%,1.06,Not Available,26%,33%,Not Available,14%,100
R5329,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,34%,Not enough data available,0:32,85%,96%,0.00%,Not enough data available,Not enough data available,37%,6%,21%,9%,57%,22%,88%,33%,99%,Plan not required to report measure,43%,71%,88%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,70%,0.00%,0:31,100,0:46,69,45%,15%,17%,No data available,17.82%,17.00%,0.00%,10.23%,10.91%,13.32%,65.38%,2.27,2%,0%,33%,6%,4%,100
R5342,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",57%,66%,91%,30%,Not enough data available,0:50,70%,96%,2.00%,80%,82%,45%,6%,25%,13%,59%,21%,84%,18%,96%,Plan not required to report measure,45%,70%,87%,4%,7%,8%,3%,74%,2.00%,0:50,100,0:46,72,55%,27%,12%,14%,15.45%,9.08%,0.11%,7.07%,8.59%,11.60%,69.16%,3.12,14%,22%,21%,Not Available,10%,100
R5361,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,50%,72%,Not enough data available,21%,Not enough data available,1:59,71%,92%,3.19%,73%,78%,46%,7%,27%,14%,84%,58%,92%,40%,94%,Plan not required to report measure,44%,70%,81%,3%,14%,13%,15%,73%,3.19%,1:59,100,0:09,84,43%,21%,12%,10%,14.75%,5.83%,0.52%,8.72%,12.46%,21.94%,71.00%,0.97,11%,12%,26%,Not Available,7%,100
R5495,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,76%,Not enough data available,28%,94,1:59,71%,94%,3.19%,90%,83%,39%,0%,20%,17%,72%,50%,85%,19%,95%,Plan not required to report measure,41%,75%,76%,3%,3%,5%,8%,70%,3.19%,1:59,100,0:09,83,59%,31%,11%,10%,13.24%,4.98%,0.00%,10.83%,11.03%,24.59%,66.67%,0.35,15%,18%,20%,Not Available,10%,100
R5826,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,51%,67%,Not enough data available,28%,Not enough data available,1:54,67%,93%,3.03%,65%,74%,43%,4%,23%,15%,68%,42%,86%,9%,99%,Plan not required to report measure,50%,75%,72%,1%,5%,2%,1%,71%,3.03%,1:54,100,0:09,83,56%,20%,9%,No data available,18.22%,10.99%,0.00%,6.45%,12.59%,19.35%,68.03%,1.48,16%,15%,28%,7%,8%,100
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","Elevance Health, Inc.",53%,67%,Not enough data available,26%,93,0:51,74%,94%,1.00%,67%,72%,45%,10%,27%,20%,72%,12%,90%,10%,95%,Plan not required to report measure,39%,70%,86%,2%,12%,8%,7%,73%,2.00%,0:12,100,0:41,95,50%,27%,10%,9%,15.36%,5.04%,0.30%,9.12%,9.88%,15.57%,71.43%,3.24,6%,5%,34%,4%,7%,80
R6694,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,CVS Health Corporation,Not enough data available,69%,Not enough data available,33%,92,0:22,77%,96%,1.02%,Not enough data available,Not enough data available,44%,9%,26%,16%,96%,8%,77%,7%,94%,Plan not required to report measure,51%,66%,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,69%,1.02%,0:22,100,0:35,92,58%,28%,8%,No data available,17.41%,9.64%,0.71%,6.17%,8.07%,16.88%,68.67%,1.9,Not Available,Not Available,Not Available,Not Available,Not Available,100
R6801,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",44%,58%,87%,22%,91,0:25,68%,96%,0.50%,68%,82%,38%,5%,22%,25%,46%,5%,84%,3%,97%,68%,40%,69%,84%,5%,7%,8%,6%,66%,0.50%,0:25,100,0:46,72,54%,41%,8%,5%,16.15%,3.93%,0.12%,10.73%,14.94%,23.42%,67.88%,5,14%,18%,23%,8%,11%,100
R7220,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,74%,Not enough data available,25%,Not enough data available,2:05,66%,91%,3.37%,Not enough data available,Not enough data available,52%,7%,29%,10%,73%,42%,86%,15%,98%,Plan not required to report measure,44%,71%,89%,3%,6%,9%,3%,59%,3.37%,2:05,100,0:09,83,49%,20%,10%,No data available,5.83%,9.86%,0.80%,8.71%,13.23%,22.47%,71.62%,0.94,7%,8%,32%,Not Available,7%,100
R7315,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,68%,Not enough data available,25%,93,1:54,63%,93%,3.03%,71%,75%,50%,4%,27%,13%,76%,38%,89%,12%,97%,Plan not required to report measure,39%,68%,89%,6%,13%,8%,11%,70%,3.03%,1:54,100,0:09,82,60%,28%,11%,16%,16.23%,5.05%,0.20%,9.43%,13.78%,20.61%,72.55%,0.63,6%,6%,27%,4%,5%,100
R7444,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",61%,75%,91%,27%,Not enough data available,0:32,76%,96%,0.00%,87%,83%,41%,6%,24%,15%,55%,19%,86%,18%,98%,Plan not required to report measure,47%,71%,87%,6%,16%,15%,6%,75%,0.00%,0:32,100,0:46,70,47%,19%,13%,14%,16.17%,10.35%,0.14%,6.95%,8.53%,10.93%,68.23%,2.95,12%,10%,33%,7%,7%,100
S0156,NextBlue of North Dakota,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S0586,MVP Health Care,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,9%,No data available,No data available,No data available,No data available,3.49%,9.36%,8.09%,No data available,Plan too small to be measured,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S0655,Tufts Health Plan,TUFTS INSURANCE COMPANY,"Point32Health, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,51%,20%,13%,17%,17.69%,3.74%,0.80%,5.32%,7.53%,8.38%,66.67%,0.82,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S1030,BlueRx (PDP),BCBS OF ALABAMA & UTIC INSURANCE COMPANY,BlueCross BlueShield of Alabama,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4.00%,0:09,98,0:22,50,47%,22%,10%,16%,15.83%,4.03%,0.15%,6.19%,14.95%,13.16%,68.39%,2.31,Not Applicable,Not Applicable,50%,Not Available,2%,100
S1140,Highmark Blue Cross Blue Shield or Highmark Blue S,Highmark Western and Northeastern New York Inc.,Highmark Health,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,49%,21%,12%,No data available,15.27%,3.12%,0.00%,5.69%,10.95%,20.54%,72.86%,0.27,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S1822,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,47%,20%,13%,No data available,4.23%,2.77%,1.85%,6.10%,7.08%,5.04%,74.29%,4.95,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
